City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,inirida,3.8653,-67.9239,34.55,47,85,0.86,CO,1698777872
135,jamestown,42.097,-79.2353,5.25,63,100,2.57,US,1698777632
136,long beach,33.767,-118.1892,30.06,11,0,3.6,US,1698777801
137,tofol,5.3248,163.0078,28.29,71,100,3.88,FM,1698777890
138,lihue,21.9789,-159.3672,24.09,82,0,3.09,US,1698777633
139,tongliao,43.6125,122.2653,3.17,56,100,1.21,CN,1698777899
140,prado,-17.3411,-39.2208,25.57,73,99,5.66,BR,1698777914
141,ust-kamenogorsk,49.9789,82.6103,4.96,93,100,3.13,KZ,1698777918
142,nogliki,51.8333,143.1667,2.41,71,100,1.34,RU,1698777923
143,praia da vitoria,38.7333,-27.0667,19.14,77,20,3.84,PT,1698777937
144,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,5.14,EC,1698777942
145,cole harbour,44.6724,-63.4751,8.17,62,40,8.75,CA,1698777946
146,fortuna,40.5982,-124.1573,18.85,61,0,0.45,US,1698777951
147,tangalle,6.024,80.7911,24.09,87,100,0.5,LK,1698777960
148,saudarkrokur,65.7461,-19.6394,0.21,61,3,2.95,IS,1698777964
149,loyew,51.9458,30.7953,16.26,65,5,5.76,BY,1698777970
150,port alfred,-33.5906,26.891,17.32,86,15,2.68,ZA,1698777975
151,ancud,-41.8697,-73.8203,9.42,70,3,7.04,CL,1698777981
152,mount isa,-20.7333,139.5,19.87,60,4,0.0,AU,1698777985
153,hobyo,5.3505,48.5268,27.78,77,9,4.58,SO,1698777990
154,olovyannaya,50.95,115.5667,-6.28,86,20,1.47,RU,1698777995
155,carutapera,-1.195,-46.02,27.73,77,14,6.67,BR,1698778000
156,vorgashor,67.5833,63.95,-12.12,93,100,2.94,RU,1698778005
157,copala,16.65,-98.9833,30.29,69,89,2.62,MX,1698778010
158,saint-gervais-les-bains,45.8929,6.7138,8.35,95,7,2.52,FR,1698778015
159,beberibe,-4.1797,-38.1306,27.58,68,5,6.21,BR,1698778000
160,fort bragg,35.139,-79.006,12.75,78,100,5.14,US,1698778052
161,nar'yan-mar,67.6713,53.087,-10.5,97,100,2.68,RU,1698778057
162,sarupathar,26.1984,93.8094,19.86,87,0,0.53,IN,1698778061
163,medicine hat,50.0501,-110.6683,2.9,73,75,6.69,CA,1698778066
164,puerto carreno,6.189,-67.4859,34.99,49,20,1.03,CO,1698778071
165,arraial do cabo,-22.9661,-42.0278,29.98,62,0,5.14,BR,1698778076
166,quelimane,-17.8786,36.8883,25.97,78,75,3.13,MZ,1698778085
